# rmse: 0.00016 eV/$\mathrm{\AA}^2$,    mae: 0.00012 eV/$\mathrm{\AA}^2$    R2: 0.99622
#  True stress           Predicted stress
0.00569526175503799661  0.00578310891089144161
0.00485628917335201391  0.00506560535837276196
0.00588963639623419754  0.00577300953046255057
0.00169386353478474328  0.00188056720041389954
0.00099109843428105962  0.00105514207507335163
0.00116864598504886155  0.00124544335558537250
-0.00042785283740204419  -0.00036177493749371361
-0.00033855139312880721  -0.00028760688117046888
-0.00071341718942220735  -0.00067000588093627130
0.00026705905299059227  0.00028046876034598905
0.00115576352953828104  0.00118843356974507341
-0.00057862841242801500  -0.00060969811878759097
0.00469155965831589104  0.00473734109736543250
0.00469846730741638966  0.00461994558437695511
0.00401737026716380077  0.00403455008280804647
0.00088736083725858463  0.00100290683383686980
-0.00030357227769109288  -0.00025882648371177683
-0.00028723019487374797  -0.00037012727499230030
0.00687173427955371785  0.00662786318148761953
0.00470715522752538328  0.00478814878889592763
0.00430062117584901864  0.00459187340009289697
-0.00333853650394702823  -0.00389729273255069774
0.00109166570262643893  0.00106391364751676448
-0.00172564652682359750  -0.00188000040902255861
-0.00167130385161396301  -0.00162017525115724058
-0.00206099672648685532  -0.00201098454519775495
-0.00170002378333707158  -0.00168847130158255123
-0.00052142083736501530  -0.00059233289112684852
0.00156122207702076555  0.00172945726796649340
-0.00135930350529054364  -0.00139133230766425378
0.00301333838656743774  0.00303548845829182054
0.00277197274765973419  0.00269238366637365939
0.00253588253058779651  0.00256628679218377526
0.00060405573339835175  0.00057786022001019542
-0.00105056191173741624  -0.00118186875926455420
0.00158389613509331197  0.00153735947659853676
0.00127401706170313881  0.00124341174011945209
0.00126416070515287735  0.00123202991669136772
0.00127541089483610391  0.00124378767471292301
-0.00024732825034752646  -0.00026906768964823761
0.00027479932052584897  0.00030311859969732371
-0.00073883704026168765  -0.00079594117557098721
-0.00618558777606956038  -0.00622045060228965628
-0.00763568458311616755  -0.00765225204226885510
-0.00797613822082816892  -0.00796847781537424887
-0.00201546604019672924  -0.00209526430055498271
-0.00197437666621954298  -0.00210833969084892438
0.00107782873039533175  0.00117057316099533583
0.00121979743064005216  0.00114210033590309815
0.00047615780689180712  0.00051076959505861816
0.00125858507513792995  0.00126234394908879082
-0.00154994785731482881  -0.00167907787528000316
-0.00132120258764525413  -0.00142127131643418852
-0.00346459839605675005  -0.00388359397116990433
-0.00069929372261497516  -0.00090740477226732507
0.00011911319713755770  0.00006896471691539845
-0.00094116394609171090  -0.00080261877754223086
-0.00037539607275053732  -0.00039750464548342839
0.00055221468895736065  0.00060243074609777345
0.00031382918970931982  0.00014398337726916993
0.00532050550780961522  0.00552559112396039560
0.00413317571367939531  0.00435550843416871759
0.00386029905021820479  0.00384133643867527698
0.00067931967796761061  0.00086452679485024759
-0.00090832386259302234  -0.00110903958521834170
0.00058173145483794307  0.00060401651696897801
0.00366521112904941073  0.00370885031102080468
0.00158308313768810017  0.00176351002096690338
0.00222373084617086920  0.00219401207093057084
0.00285101734602209679  0.00326618255136220921
-0.00339159481612715582  -0.00360339430044242766
-0.00028451101215259532  -0.00020451637305757454
-0.00338293886626845914  -0.00343213829742273395
-0.00130774183786736887  -0.00124414154437560822
-0.00208763374774075840  -0.00222173467359080938
-0.00217605795111615622  -0.00233185054012488568
-0.00074371616320847652  -0.00076412874228525527
0.00062125827686383911  0.00072078785416548863
0.00031246656108314946  0.00042466892615822217
0.00059996723419051287  0.00064313524995773959
0.00080454465099201618  0.00107102096516367338
0.00066626703458642282  0.00090520489691183219
-0.00197047860944065583  -0.00225459742499535586
0.00046393727695865641  0.00032858054632290047
0.00162205611598561779  0.00167764207017865458
0.00114723060913560953  0.00097641991711877932
0.00138526570819692330  0.00140919385852735228
-0.00090204418192644565  -0.00102489021221077985
0.00136621628138350695  0.00142344265809038473
0.00113218301479062851  0.00149410483758898038
0.00476788456346143377  0.00470466006141027904
0.00352324869247635977  0.00385026115808390600
0.00273773518043315869  0.00316552932811849704
0.00328343828413063359  0.00345252149228249348
-0.00008390347281064772  -0.00000962078081848324
0.00089869276501080696  0.00082955531020830441
0.00241345992169740738  0.00243646622394899431
0.00261016622431317060  0.00257457290822668463
0.00246230466139468274  0.00243747821357515699
-0.00036011841380023137  -0.00041170727961643220
0.00073839332954660968  0.00078851931694164069
-0.00096626924529278680  -0.00105687136608287606
0.00158300257669724575  0.00162093204107327982
0.00141189281702055048  0.00146737524331228258
0.00168417228502050747  0.00170058997517980970
-0.00049048043495328742  -0.00052068257746611709
-0.00005744450436600903  -0.00001845342438616610
-0.00111159450964508051  -0.00115226293882909046
0.00285802755333506350  0.00259331421077921157
0.00255394280226418089  0.00226537531174151327
0.00290814092985716222  0.00286201220978354745
-0.00188893221504126785  -0.00196527007261753598
-0.00095188894591132791  -0.00080843672821074371
-0.00317847128499716951  -0.00369005558483471432
0.00180893211018440313  0.00179909724825979482
0.00150263680269149282  0.00151853426871184660
0.00163398210828139684  0.00164666414295827428
0.00053967852763237793  0.00055978204403707866
-0.00003268216937626945  -0.00006013099398443136
0.00170175422960109290  0.00182731946449496765
0.00402425261183873319  0.00396754678039306589
0.00471244185088480223  0.00447264843730821142
0.00401077800522519397  0.00401333690091735477
0.00218873761681335132  0.00252181358210232503
-0.00026437028883326318  -0.00025803354784753558
0.00009958642804426634  0.00001791668259338105
0.00422256218302611078  0.00462276347284845505
0.00374600120024432904  0.00348994551168537153
0.00198219751494512365  0.00221469117359801744
0.00145081535540794965  0.00148636842385059813
-0.00135109490388763938  -0.00173682443661852897
-0.00248375067622960081  -0.00260128161609155320
0.00349316349334191862  0.00327770158579380848
-0.00011882369026972765  -0.00027143093131978862
0.00147426520897297000  0.00139676619029524248
0.00071044272214067054  0.00080310604442811813
-0.00352495716355455098  -0.00372553789531326462
0.00149048308341983302  0.00175818108192553053
0.00424323729431265537  0.00430734825708549169
0.00328217484407825966  0.00356386203223326347
0.00064758081993195201  0.00106504142666830602
0.00221124509537495894  0.00214027035960578493
0.00157448046668305750  0.00135491770203665469
0.00171866321602160755  0.00168435423746061139
0.00255963073398086114  0.00249883904782088407
0.00264987902284907978  0.00261332302834060837
0.00243866211958703415  0.00237587358062998693
0.00137132235638109706  0.00152835010711013125
0.00013408425440951730  0.00010759535841850348
-0.00009595745812285153  -0.00011385648841641002
-0.00202725812286801664  -0.00235160292251119021
-0.00113380303055826215  -0.00117526446532448020
-0.00225545005379593471  -0.00242174585998016813
0.00224107752570105014  0.00267522633761396343
0.00143539796204085186  0.00155484354637996491
-0.00239668000253779852  -0.00248953383456494183
0.00124908712878196585  0.00126628976008584938
0.00172222435300477456  0.00168692603596713774
0.00169206432585601086  0.00169514229864997689
0.00028547443867521526  0.00033347574872102703
-0.00173265868430346913  -0.00189601829554448360
0.00017185285883978126  0.00013936337742533837
0.00225439824908800187  0.00221779972148617973
0.00240871291796764106  0.00237366969260697797
0.00227708594363836003  0.00223614927411428660
0.00006366936661213972  0.00006146962094663778
0.00049740482574085884  0.00050206133645741655
-0.00120149775302214176  -0.00131678975529047216
0.00159280036396932095  0.00155046298346417821
0.00153096900193674620  0.00155166056043389814
0.00366541036926521912  0.00347994990100972384
-0.00057285302252001419  -0.00083377740493186892
0.00320959879508916739  0.00352179168026978823
0.00104714196904174693  0.00112907189631802256
-0.00494095337413676897  -0.00492493870253911219
-0.00425926964949202829  -0.00422232387035291045
-0.00526273983794819499  -0.00514689942890293566
-0.00097135170527493651  -0.00095855193753086802
0.00343112523182219787  0.00366749234404240964
-0.00139276745122202334  -0.00136577991497309329
0.00461980245906904157  0.00489308710988225516
0.00304301157162610971  0.00307365620961452032
0.00517761016794774341  0.00510912826113006906
-0.00122856099959633112  -0.00126308616669463798
-0.00180571060339841747  -0.00203258095092502620
0.00123349609894402739  0.00129227850596429130
0.00271775035845098689  0.00273603594016613109
0.00239396176001010650  0.00203514817056994930
0.00263665042740339126  0.00251565983307765108
0.00056669759796811850  0.00066954627417614124
0.00093543507923318022  0.00102899354952284191
-0.00266088018613464547  -0.00291901035753591200
0.00203471457317493283  0.00205713664445535864
0.00277569389381750620  0.00283033847489065583
0.00276243744146791167  0.00269818939774814446
0.00055689566980492221  0.00068038056500938841
-0.00210930875110020444  -0.00216053847700235909
0.00040248944407809392  0.00048839520938471798
0.00112028554414491310  0.00117712550084038805
0.00100547777510590400  0.00086842816418113437
0.00055626089965893366  0.00058160220826982388
-0.00095127572125337703  -0.00092941961231682215
-0.00170522790472030835  -0.00189439433300578786
-0.00156307288457460387  -0.00171366450707396392
0.01090579966483412253  0.01070861603389743413
0.01088472561403712284  0.01090654021386872584
0.01003412019494727067  0.01009583926562398690
0.00361089365543168159  0.00404661260133109928
-0.00344824582420610870  -0.00372165611440833074
-0.00173768761936570772  -0.00202194369071301413
0.00378873886924558593  0.00374988536469294653
0.00375990399887189816  0.00378548071846035623
0.00340566699648289220  0.00345009267206073007
0.00109613781362048073  0.00119405002738272618
0.00157829718570969566  0.00176916403671690810
-0.00063515106206378773  -0.00078204108521497725
0.00093799640861395200  0.00096998599408906348
0.00234593669639698204  0.00267356620730856316
0.00159632294934796532  0.00165770076182425040
0.00118216820181056017  0.00119354684179804466
0.00074300838483668051  0.00058705792075726610
-0.00009379077568176518  0.00020982636633308654
0.00562519798744659690  0.00578959394379380873
0.00561622532827895597  0.00524683539317437244
0.00726506044942157661  0.00704044844605002541
0.00237083289069617287  0.00249547372726280272
0.00111305837433666572  0.00135600871555124837
-0.00055023363339184409  -0.00046670457679828423
0.00270756204015645862  0.00297042669214902036
0.00279592289065217587  0.00238743017753626939
0.00272376717424740230  0.00245450107948008353
-0.00125467424494944690  -0.00164001964471782399
0.00121030762467004820  0.00113425573496463844
